iter	RMSE
0	88867.38306
1	86050.17375
2	83612.30759
3	81220.84054
4	79052.62866
5	77149.64626
6	75344.49149
7	73630.67298
8	72136.66759
9	70777.85367
10	69489.10237
11	68360.27496
12	67268.41457
13	66271.23227
14	65383.73756
15	64481.5836
16	63749.90448
17	62998.79798
18	62393.64291
19	61757.83195
20	61065.09539
21	60510.0564
22	60026.67094
23	59481.72524
24	59047.91595
25	58646.36164
26	58280.1872
27	57949.49792
28	57645.8033
29	57332.70523
30	57036.42852
31	56746.48733
32	56444.45341
33	56169.78739
34	55930.19872
35	55701.01656
36	55495.55366
37	55268.21793
38	54993.7842
39	54808.83664
40	54610.96042
41	54318.06877
42	54146.29964
43	53937.36403
44	53778.30756
45	53637.49891
46	53438.40324
47	53281.83449
48	53106.67097
49	53004.19784
50	52830.20626
51	52531.7075
52	52356.8104
53	52168.46404
54	52016.94576
55	51902.91128
56	51649.71452
57	51442.75512
58	51324.25342
59	51173.88973
60	51048.547
61	50889.41895
62	50809.2157
63	50722.82402
64	50588.01531
65	50482.22129
66	50387.12607
67	50148.78304
68	50070.54772
69	49947.40005
70	49850.47138
71	49785.5097
72	49711.41209
73	49619.48827
74	49537.21612
75	49443.43201
76	49374.40647
77	49310.21728
78	49230.76419
79	49170.75208
80	49116.07654
81	49059.91242
82	48884.16744
83	48839.10713
84	48795.78577
85	48602.26029
86	48524.90655
87	48429.717
88	48380.63979
89	48309.225
90	48181.73351
91	48105.15492
92	47973.65252
93	47932.13564
94	47854.73963
95	47804.47215
96	47746.23019
97	47665.09162
98	47577.18175
99	47503.70229
100	47372.94105
101	47302.34353
102	47213.09148
103	47121.15439
104	47023.70109
105	46906.66036
106	46840.12455
107	46795.88576
108	46690.41358
109	46644.24412
110	46596.65424
111	46546.10285
112	46509.40732
113	46457.90721
114	46401.41619
115	46296.992
116	46250.6061
117	46206.84065
118	46157.7755
119	46091.84278
120	46013.15265
121	45968.38194
122	45916.02879
123	45828.0206
124	45794.79678
125	45740.6443
126	45699.44167
127	45660.21046
128	45545.82672
129	45498.73548
130	45455.84613
131	45428.48913
132	45328.75032
133	45293.42076
134	45262.90605
135	45198.97264
136	45154.42759
137	45125.4512
138	45029.67205
139	44944.56705
140	44902.69124
141	44831.44192
142	44800.20836
143	44748.05681
144	44687.63341
145	44601.26256
146	44560.18686
147	44509.5252
148	44445.14269
149	44400.50091
150	44371.57114
151	44297.67371
152	44263.16524
153	44214.16931
154	44158.06536
155	44097.58893
156	44038.0935
157	44007.72234
158	43973.26858
159	43920.49956
160	43880.52943
161	43834.47142
162	43784.66503
163	43730.19731
164	43670.17998
165	43621.14677
166	43580.93175
