iter	Passed	Remaining
0	4	4522
1	8	4063
2	12	4034
3	17	4363
4	22	4462
5	28	4801
6	32	4674
7	45	5682
8	52	5786
9	58	5746
10	67	6071
11	72	5970
12	80	6107
13	84	5925
14	87	5759
15	97	5979
16	101	5878
17	105	5735
18	108	5625
19	112	5491
20	115	5391
21	120	5378
22	126	5354
23	131	5356
24	134	5252
25	137	5146
26	141	5108
27	148	5160
28	151	5068
29	154	4991
30	163	5119
31	169	5122
32	181	5317
33	186	5304
34	197	5439
35	209	5605
36	275	7169
37	282	7157
38	286	7047
39	289	6953
40	294	6899
41	299	6828
42	304	6769
43	309	6733
44	314	6664
45	320	6645
46	323	6567
47	327	6488
48	329	6401
49	333	6328
50	338	6307
51	343	6253
52	345	6180
53	349	6118
54	355	6107
55	360	6077
56	365	6044
57	371	6033
58	376	6002
59	380	5968
60	387	5966
61	390	5914
62	394	5860
63	403	5897
64	410	5903
65	416	5887
66	425	5920
67	429	5880
68	435	5871
69	438	5826
70	441	5783
71	445	5736
72	448	5695
73	451	5652
74	455	5622
75	459	5583
76	466	5589
77	474	5604
78	479	5585
79	483	5563
80	487	5535
81	501	5613
82	505	5589
83	513	5602
84	516	5564
85	520	5528
86	529	5560
87	536	5559
88	543	5563
89	549	5555
90	557	5565
91	565	5582
92	571	5571
93	583	5619
94	588	5602
95	596	5619
96	601	5594
97	606	5581
98	612	5571
99	615	5543
100	620	5523
101	624	5498
102	628	5469
103	631	5439
104	638	5446
105	642	5422
106	646	5393
107	650	5376
108	654	5353
109	659	5338
110	665	5333
111	671	5327
112	689	5412
113	692	5382
114	695	5356
115	705	5373
116	708	5344
117	711	5318
118	715	5300
119	719	5274
120	723	5255
121	729	5249
122	734	5234
123	738	5220
124	743	5201
125	752	5219
126	756	5197
127	761	5184
128	768	5186
129	774	5180
130	780	5175
131	785	5168
132	791	5161
133	801	5176
134	805	5158
135	809	5142
136	820	5166
137	824	5150
138	828	5131
139	832	5113
140	835	5090
141	838	5066
142	841	5043
143	845	5023
144	849	5009
145	854	4997
146	858	4984
147	863	4973
148	868	4959
149	873	4948
150	879	4946
151	883	4928
152	887	4915
153	891	4896
154	895	4881
155	899	4865
156	902	4845
157	906	4833
158	910	4817
159	915	4807
160	920	4797
161	924	4784
162	929	4770
163	935	4766
164	942	4771
165	946	4754
166	949	4734
167	954	4728
168	959	4719
169	964	4710
170	973	4720
171	978	4709
172	981	4692
173	987	4686
174	993	4682
175	1008	4721
176	1011	4703
177	1015	4691
178	1021	4684
179	1025	4669
180	1028	4651
181	1031	4637
182	1035	4621
183	1038	4607
184	1046	4609
185	1051	4600
186	1055	4590
187	1069	4619
188	1073	4606
189	1077	4594
190	1080	4578
191	1084	4564
